VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,18:09.0,24:37.0,1,2.31,1,N,48,68,1,11.4,1,0.5,3.28,0,1,19.68,2.5,0
2,52:58.0,01:18.0,1,2.61,1,N,231,164,1,13.5,1,0.5,2,0,1,20.5,2.5,0
2,26:02.0,34:43.0,1,1.79,1,N,90,233,1,11.4,1,0.5,3.28,0,1,19.68,2.5,0
2,53:44.0,10:56.0,1,6.58,1,N,141,244,1,27.5,1,0.5,6.5,0,1,39,2.5,0
2,58:28.0,14:33.0,1,3.4,1,N,79,246,1,18.4,1,0.5,4.68,0,1,28.08,2.5,0
2,54:24.0,03:58.0,1,2.85,1,N,140,74,2,14.2,1,0.5,0,0,1,19.2,2.5,0
2,06:55.0,50:08.0,3,16.25,3,N,48,1,1,88.1,1,0,20.7,13.38,1,124.18,0,0
2,22:26.0,30:50.0,2,1.35,1,N,249,144,1,10,1,0.5,3,0,1,18,2.5,0
2,21:19.0,46:54.0,1,5.72,1,N,164,25,1,28.9,1,0.5,6.78,0,1,40.68,2.5,0
1,13:35.0,40:25.0,1,8.4,1,N,90,181,1,35.2,3.5,0.5,9.4,6.94,1,56.54,2.5,0
2,22:52.0,45:47.0,1,11.83,1,N,161,138,1,46.4,6,0.5,10,6.94,1,73.34,2.5,0
2,20:52.0,54:01.0,1,7.08,1,N,107,188,1,37.3,1,0.5,8.46,0,1,50.76,2.5,0
2,47:40.0,08:34.0,3,4.43,1,N,211,225,1,24.7,1,0.5,5.94,0,1,35.64,2.5,0
1,31:39.0,34:13.0,1,0.5,1,N,48,48,1,5.1,3.5,0.5,2,0,1,12.1,2.5,0
2,48:31.0,58:40.0,1,2.87,1,N,263,164,1,14.2,1,0.5,3.84,0,1,23.04,2.5,0
2,47:31.0,48:06.0,1,30.6,1,N,230,44,1,116.4,1,0.5,27.06,13.88,1,162.34,2.5,0
2,40:35.0,45:55.0,1,1.68,1,N,79,137,1,8.6,1,0.5,2,0,1,15.6,2.5,0
1,10:37.0,22:17.0,1,2,1,N,141,161,3,12.1,3.5,0.5,0,0,1,17.1,2.5,0
2,39:41.0,59:26.0,1,3.61,1,N,48,145,4,-21.9,-1,-0.5,6.72,0,-1,-20.18,-2.5,0
2,39:41.0,59:26.0,1,3.61,1,N,48,146,4,21.9,1,0.5,0,0,1,26.9,2.5,0
1,55:28.0,01:15.0,1,1.1,1,N,246,90,1,7.9,3.5,0.5,3.85,0,1,16.75,2.5,0
1,38:19.0,44:30.0,1,1.1,1,N,48,186,1,7.9,3.5,0.5,3.25,0,1,16.15,2.5,0
1,59:16.0,28:32.0,1,11,1,N,68,123,2,42.9,3.5,0.5,0,0,1,47.9,2.5,0
2,10:33.0,14:20.0,2,0.62,1,N,144,148,1,5.8,1,0.5,0,0,1,10.8,2.5,0
1,10:13.0,15:36.0,1,0.9,1,N,148,79,1,6.5,3.5,0.5,2.3,0,1,13.8,2.5,0
2,50:57.0,28:06.0,4,10.31,5,N,80,265,1,86,0,0,0,13.38,1,100.38,0,0
2,07:06.0,26:46.0,1,6.83,1,N,140,243,1,30.3,1,0.5,7.06,0,1,42.36,2.5,0
2,09:14.0,16:58.0,1,2.24,1,N,48,164,1,11.4,1,0.5,3.28,0,1,19.68,2.5,0
2,56:45.0,07:39.0,1,4.03,1,N,246,151,2,17.7,1,0.5,0,0,1,22.7,2.5,0
2,00:32.0,30:13.0,1,5.85,5,N,79,265,1,63,0,0,12.8,0,1,76.8,0,0
2,51:53.0,55:25.0,1,0.66,1,N,48,50,1,5.8,1,0.5,3.24,0,1,14.04,2.5,0
2,16:22.0,58:00.0,1,9.4,1,N,249,173,2,45.7,1,0.5,0,0,1,50.7,2.5,0
2,01:58.0,06:46.0,5,1.19,1,N,249,79,1,7.2,1,0.5,2.44,0,1,14.64,2.5,0
2,13:30.0,19:29.0,5,1.14,1,N,148,114,1,7.9,1,0.5,2,0,1,14.9,2.5,0
2,27:50.0,35:56.0,5,1.39,1,N,148,231,1,10,1,0.5,3,0,1,18,2.5,0
2,29:40.0,36:32.0,1,1.01,1,N,114,148,1,8.6,1,0.5,3.4,0,1,17,2.5,0
2,08:20.0,18:52.0,1,2.65,1,N,239,90,1,14.2,1,0.5,4.8,0,1,24,2.5,0
1,04:54.0,11:49.0,1,1.6,1,N,114,107,1,10,3.5,0.5,2,0,1,17,2.5,0
1,13:08.0,15:58.0,1,0.4,1,N,107,164,1,5.1,3.5,0.5,20,0,1,30.1,2.5,0
1,55:50.0,09:27.0,1,3,1,N,148,68,1,17,3.5,0.5,4,0,1,26,2.5,0
2,47:14.0,51:28.0,1,0.94,1,N,246,50,1,6.5,1,0.5,2.3,0,1,13.8,2.5,0
2,35:56.0,40:46.0,1,0.68,1,N,148,79,1,6.5,1,0.5,2.3,0,1,13.8,2.5,0
2,56:38.0,04:24.0,1,2.27,1,N,232,107,1,12.1,1,0.5,1,0,1,18.1,2.5,0
2,02:50.0,09:45.0,2,1.33,1,N,145,145,1,9.3,1,0.5,2.36,0,1,14.16,0,0
2,16:05.0,37:30.0,1,5.05,1,N,148,198,2,25.4,1,0.5,0,0,1,30.4,2.5,0
2,07:01.0,12:49.0,2,0.9,1,N,4,79,1,7.9,1,0.5,2.58,0,1,15.48,2.5,0
2,25:40.0,28:29.0,1,1,1,N,229,137,1,6.5,1,0.5,2.3,0,1,13.8,2.5,0
2,11:21.0,24:36.0,1,1.78,1,N,158,79,1,14.2,1,0.5,3.84,0,1,23.04,2.5,0
1,12:23.0,25:41.0,2,3.4,1,N,114,142,1,17.7,3.5,0.5,5.65,0,1,28.35,2.5,0
1,36:47.0,55:25.0,1,4.5,1,N,163,7,1,21.9,3.5,0.5,8.05,0,1,34.95,2.5,0
2,04:35.0,43:26.0,1,19.48,3,N,229,1,1,94.4,1,0,0,20,1,116.4,0,0
1,13:39.0,14:09.0,0,5.2,5,N,132,132,3,0,0,0,0,0,1,1,0,0
2,33:42.0,45:40.0,1,3.42,1,N,249,238,1,16.3,1,0.5,4.26,0,1,25.56,2.5,0
2,23:21.0,30:27.0,4,1.49,1,N,79,137,1,9.3,1,0.5,2.86,0,1,17.16,2.5,0
2,40:05.0,48:06.0,2,1.46,1,N,79,234,1,10,1,0.5,0,0,1,15,2.5,0
2,08:01.0,29:44.0,1,4.5,1,N,163,7,1,24,1,0.5,5.8,0,1,34.8,2.5,0
2,07:43.0,18:04.0,2,1.63,1,N,79,211,1,12.1,1,0.5,4.28,0,1,21.38,2.5,0
2,19:14.0,27:35.0,1,1.32,1,N,246,48,1,9.3,1,0.5,2.86,0,1,17.16,2.5,0
2,38:17.0,04:57.0,1,4.42,1,N,246,263,1,26.1,1,0.5,7.78,0,1,38.88,2.5,0
1,27:27.0,42:54.0,1,6.1,1,N,164,157,2,26.1,3.5,0.5,0,6.94,1,38.04,2.5,0
2,40:43.0,53:29.0,2,3.03,1,N,249,233,1,16.3,1,0.5,2,0,1,23.3,2.5,0
2,25:47.0,33:59.0,1,1.62,1,N,48,90,1,10.7,1,0.5,3.14,0,1,18.84,2.5,0
2,38:20.0,43:14.0,1,0.89,1,N,249,68,1,7.2,1,0.5,2.44,0,1,14.64,2.5,0
2,46:51.0,01:26.0,1,3.82,1,N,68,66,1,18.4,1,0.5,4.68,0,1,28.08,2.5,0
2,03:47.0,29:57.0,1,12.58,1,N,161,138,1,49.9,6,0.5,16.71,6.94,1,83.55,2.5,0
1,37:30.0,51:38.0,1,3.5,1,N,231,163,1,16.3,3.5,0.5,0,0,1,21.3,2.5,0
2,22:57.0,25:46.0,1,0.79,1,N,246,246,1,5.8,1,0.5,1,0,1,11.8,2.5,0
2,38:03.0,42:55.0,1,1.28,1,N,246,246,1,7.9,1,0.5,2.58,0,1,15.48,2.5,0
2,52:02.0,55:24.0,1,0.49,1,N,246,186,1,5.1,1,0.5,2.02,0,1,12.12,2.5,0
1,04:11.0,06:52.0,1,0.1,1,N,114,79,2,4.4,3.5,0.5,0,0,1,9.4,2.5,0
1,19:04.0,30:33.0,1,1.8,1,N,114,231,1,11.4,3.5,0.5,4.1,0,1,20.5,2.5,0
2,49:43.0,54:15.0,2,0.49,1,N,125,249,1,6.5,1,0.5,2.3,0,1,13.8,2.5,0
2,08:15.0,12:48.0,1,1.33,1,N,114,231,1,7.9,1,0.5,0,0,1,12.9,2.5,0
2,29:44.0,32:17.0,1,0.74,1,N,231,114,1,5.8,1,0.5,2.16,0,1,12.96,2.5,0
2,44:24.0,53:45.0,1,2.43,1,N,144,66,1,12.8,1,0.5,4.45,0,1,22.25,2.5,0
2,15:45.0,27:34.0,2,3,1,N,114,230,1,15.6,1,0.5,5.15,0,1,25.75,2.5,0
2,46:39.0,54:19.0,1,2.51,1,N,48,151,1,11.4,1,0.5,4.1,0,1,20.5,2.5,0
2,23:14.0,37:31.0,1,3.76,1,N,113,142,1,18.4,1,0.5,0,0,1,23.4,2.5,0
